user_id,time_add,album_id,artist_id,total
975,1338501600,287089,1719,1
1812,1338501600,90801,1557,13
1812,1338501600,93909,1334,13
1812,1338501600,104008,15374,13
1812,1338501600,107056,16916,13
1812,1338501600,108938,38,13
1812,1338501600,119604,14950,13
1812,1338501600,211128,71569,13
1812,1338501600,265373,162248,13
1812,1338501600,302917,3325,13
1812,1338501600,303037,821,13
1812,1338501600,382766,8003,13
1812,1338501600,653576,174504,13
1812,1338501600,693773,158706,13
754,1338501600,40423,54378,13
754,1338501600,51101,56202,13
754,1338501600,102156,631,13
754,1338501600,222107,5080,13
754,1338501600,262035,67334,13
754,1338501600,389495,1388,13
754,1338501600,398171,56202,13
754,1338501600,425493,1295,13
754,1338501600,497936,170051,13
754,1338501600,647883,1650,13
754,1338501600,664634,17026,13
754,1338501600,931517,56202,13
754,1338501600,1309765,183716,13
178,1484672893,301300,356752,37
178,1484672893,453594,329970,37
178,1484672893,468370,14698,37
178,1484672893,1358484,801687,37
178,1484672893,1523150,179328,37
178,1484672893,2973341,2720,37
178,1484672893,5842161,169893,37
178,1484672893,6158946,9058,37
178,1484672893,6203566,54992,37
178,1484672893,6522779,4725,37
178,1484672893,6602123,13264,37
178,1484672893,6975215,1626113,37
178,1484672893,6990696,67691,37
178,1484672893,7071725,1698,37
178,1484672893,7337097,425719,37
178,1484672893,10843518,1302,37
178,1484672893,10921536,4991018,37
178,1484672893,10945166,5387631,37
178,1484672893,10964402,4424856,37
178,1484672894,10966642,1508,37
178,1484672894,11223568,71551,37
178,1484672894,11236156,5595353,37
178,1484672894,12300918,10234,37
178,1484672894,12595440,2663181,37
178,1484672894,12636684,4643601,37
41,1338501600,400848,259,3
41,1338501600,423368,259,3
41,1338501600,1236331,503874,3
1095,1338501600,19509,2322,11
1095,1338501600,77367,1910,11
1095,1338501600,87733,1700,11
1095,1338501600,114554,1044,11
1095,1338501600,220253,656,11
1095,1338501600,227704,1214,11
1095,1338501600,247255,1214,11
1095,1338501600,299170,240,11
1095,1338501600,300041,1298,11
1095,1338501600,319176,2975,11
1095,1338501600,1033097,1216571,11
3649,1432802308,714922,789255,3
3649,1432800146,714923,789255,3
3649,1432738216,1610522,789255,3
19,1457987326,302043,1798,5
19,1458157127,371511,6428,5
19,1458246771,1310456,5080,5
19,1457988224,6541076,3574,5
19,1457987326,11228114,5080,5
164,1364397860,739505,429675,9
164,1364398400,1121440,83325,9
164,1365000826,5354411,1623794,9
164,1364398099,5954561,14044,9
164,1364397691,5965734,705,9
164,1364397817,6157080,429675,9
164,1364985346,6234365,365071,9
164,1364985452,6387572,5080,9
164,1365441683,6443850,365071,9
4356,1338501600,71623,259,9
4356,1338501600,83121,847,9
4356,1338501600,125800,79,9
4356,1338501600,222985,1753,9
4356,1338501600,248591,1753,9
4356,1338501600,284581,259,9
4356,1338501600,299941,1572,9
4356,1338501600,301078,2975,9
4356,1338501600,1548170,259767,9
62,1338501600,41214,5080,104
62,1338501600,42205,15750,104
62,1338501600,42581,10858,104
62,1338501600,42582,10858,104
62,1338501600,42584,10858,104
62,1338501600,42586,16989,104
62,1338501600,42588,16989,104
62,1338501600,42683,868,104
62,1338501600,43417,16989,104
62,1338501600,48073,930,104
62,1338501600,71079,3036,104
62,1338501600,71417,352176,104
62,1338501600,72079,3036,104
62,1338501600,73832,882,104
62,1338501600,74823,882,104
62,1343995495,80788,941,104
62,1360361503,80833,3272,104
62,1340785241,81763,92,104
62,1340785230,81847,92,104
62,1338501600,82070,193331,104
62,1338501600,86860,1375,104
62,1343169426,88706,99,104
62,1357393762,96262,2,104
62,1357384874,96312,2,104
62,1338501600,97382,16998,104
669,1338501600,11939,6207,45
669,1338501600,72799,1060196,45
669,1338501600,74479,359528,45
669,1338501600,77570,1120,45
669,1338501600,78393,259,45
669,1338501600,81934,290,45
669,1338501600,92747,290,45
669,1338501600,93366,13658,45
669,1338501600,98225,202,45
669,1338501600,100467,1384,45
669,1338501600,104644,1017,45
669,1338501600,107359,9052,45
669,1338501600,125633,34,45
669,1338501600,223223,358,45
669,1338501600,226402,3198,45
669,1338501600,227687,69925,45
669,1338501600,238641,2046,45
669,1338501600,238949,26,45
669,1341409754,240476,1007,45
669,1338501600,243837,2016,45
669,1338501600,253927,75491,45
669,1338501600,271643,259,45
669,1338501600,276661,5043,45
669,1338501600,299159,762,45
669,1338501600,299213,2236,45
12094,1338501600,28284,1020,4
