user_id,time_add,title,total
6356,1432568827,Old School R&B,3
6356,1432568804,Funk,3
6356,1432568795,Soul,3
12021,1259132306,Dancefloor,3
12021,1259132504,Hits,3
12021,1285061828,Charts,3
8934,1241876333,Classic Rock,3
8934,1241875155,Trip hop,3
8934,1241875529,Reggae & Ska & Dub,3
13278,1247606049,Electro,1
8113,1219609361,Electro,5
8113,1219609400,Dancefloor,5
8113,1219609418,Disco,5
8113,1219614609,Musique de Film,5
8333,1259450566,Soul,1
17603,1319380891,Classique Instrumental,2
17603,1329070568,Les couleurs d'inter,2
2197,1241177511,Charts,1
4699,1473335062,Akustik-Nachmittag,1
6087,1246002622,Französische Variété ,2
6087,1245928556,Französische Chansons,2
4111,1286836026,Französische Chansons,1
6596,1254403270,Nouvelle Chanson,2
6596,1453469456,Hard Rock,2
5037,1232114070,Hits,1
6627,1364836254,Französische Chansons,1
5097,1223759586,Nouvelle Chanson,3
5097,1224870636,Rock,3
5097,1222606883,Französische Chansons,3
12988,1246988803,Französische Chansons,1
4800,1242482164,Musique de Film,2
4800,1242482197,Reggae & Ska & Dub,2
2043,1235061342,Vocal Jazz,3
2043,1235061308,Reprises - Covers,3
2043,1241085891,Trip hop,3
2829,1280328899,Rock en Seine 2014,2
2829,1434988776,La Route du Rock Hiver 2016,2
6438,1288438901,Pop Folk,1
6812,1467395761,Ska,1
13992,1365608480,Soul,1
2301,1243690207,Electro,1
4508,1246575053,Rock,3
4508,1297546037,Dancefloor,3
4508,1246574846,Musique de Film,3
6642,1252837288,Pop,2
6642,1252837287,Dancefloor,2
17502,1221758339,Französische Chansons,4
17502,1238957341,Dancefloor,4
17502,1221301798,Disco,4
17502,1221758411,Musique de Film,4
6162,1244983332,Charts,1
13697,1309425748,Pop,3
13697,1254084773,Hits,3
13697,1258228052,Charts,3
13884,1227403589,Funk,2
13884,1227403675,Classic Rock,2
14623,1226183185,Electro,1
2383,1243847792,Reprises - Covers,1
11248,1252406294,Electro,4
11248,1244475199,Dancefloor,4
11248,1424249332,Top 100,4
6775,1242048058,Dancefloor,1
6127,1225146650,Französische Variété ,3
6127,1225146707,Dancefloor,3
6127,1225146630,R&B,3
6063,1443816928,Dance,1
17802,1251751233,Electro,2
17802,1252526973,Dancefloor,2
9188,1219771521,Soul,1
3362,1375085017,Children's Songs From Around The World,1
9736,1247526402,Rap,1
11874,1242404457,Vocal Jazz,1
16245,1395925316,INA Musique(s),1
5640,1305711061,Heavy Metal,1
15027,1273433655,Soul,1
2228,1234719838,Rock,4
2228,1249484408,Pop,4
2228,1252502102,Hits,4
2228,1241026334,EuropaVox,4
2462,1245689237,Vocal Jazz,4
2462,1248263941,Dancefloor,4
2462,1248167123,Disco,4
2462,1248257629,Hits,4
5755,1298313424,Dancefloor,1
8879,1239808053,Charts,1
4511,1219577141,Nouvelle Chanson,6
4511,1220785629,Rock,6
4511,1219949327,Indie Pop,6
4511,1220785598,Classic Rock,6
4511,1217861364,Pop Folk,6
4511,1222461315,Reprises - Covers,6
7469,1218636040,Rock,10
7469,1217157885,Pop,10
7469,1236619005,Dancefloor,10
7469,1220089915,Soul,10
7469,1220090115,Funk,10
7469,1220090133,Disco,10
7469,1217155834,Musique de Film,10
7469,1219689451,R&B,10
7469,1224157709,Reprises - Covers,10
7469,1220473937,Charts,10
19239,1239188782,Classic Rock,1
390,1461919867,Coffee-Lounge,2
390,1454327767,Roadtrip,2
13667,1212007805,Rock,2
13667,1212700909,Indie Pop,2
7622,1266259928,Trip hop,10
7622,1446643107,Indie,10
7622,1446641254,Alternative,10
7622,1446571827,Poprock,10
7622,1454004368,Sonniger Morgen,10
7622,1457892259,Rock-Klassiker,10
7622,1452884488,Die 70er,10
7622,1452882173,Die 80er,10
7622,1457892250,Französische Chansons,10
7622,1454001500,Roadtrip,10
5200,1223036573,Rap,1
1547,1252846695,Dancefloor,1
4286,1250499668,Soul,1
7951,1302285054,Dancefloor,1
14402,1398634153,Pop,1
6851,1212331862,Rock,3
6851,1211992252,Indie Pop,3
11031,1225476825,Rock,1
5622,1416904631,Old School R&B,1
10907,1257693430,Electro,1
15425,1230336490,Rock,5
15425,1230334962,Vocal Jazz,5
15425,1230335895,Soul,5
15425,1230335962,Funk,5
15425,1230336067,Blues,5
5924,1297453513,Soul,1
9686,1220977735,R&B,1
13325,1270143354,Dancefloor,2
13325,1243366716,Charts,2
16603,1229883873,Musique de Film,4
16603,1237545526,Reprises - Covers,4
16603,1220463168,Charts,4
11193,1374409956,Arte Summer of Soul,1
5658,1240837502,Rock,2
5658,1240835808,Pop,2
2529,1331122878,Les couleurs d'inter,2
2529,1437126361,Minimal,2
9631,1299409017,Vocal Jazz,1
4037,1231881246,Dancefloor,5
4037,1214746630,Funk,5
4037,1214746315,Disco,5
4037,1303556464,Hits,5
4037,1229159945,Reggae & Ska & Dub,5
5818,1209892090,Rock,2
5818,1231957013,Blues,2
9430,1226156753,Dancefloor,2
9430,1218218797,Disco,2
9282,1351352133,Télérama Dub Festival ,1
3475,1216391249,Rock,1
6051,1237733556,Electro,4
6051,1233332339,Dancefloor,4
6051,1233331956,Urban Style,4
6051,1233399105,Hits,4
6030,1255429948,Rock,1
8132,1231588268,Rock,1
13973,1332258704,Indie Pop,2
13973,1332607655,Pop,2
6912,1231540731,Dancefloor,1
4554,1301248546,Electro,2
4554,1288623096,Dancefloor,2
6105,1290712447,Pop Folk,1
11465,1419019571,Francofolies,1
6506,1229760426,R&B,1
2569,1238107914,Rock,1
4788,1272207339,Pop Folk,1
12916,1229273546,Nouvelle Chanson,4
12916,1229274030,Rock,4
12916,1229273565,Französische Chansons,4
12916,1229273920,Reggae & Ska & Dub,4
14573,1240320249,Dancefloor,3
14573,1220464480,Musique de Film,3
7108,1243173440,Pop,2
7108,1213533227,Soul,2
7311,1249910066,Pop,2
13191,1263043696,Hits,1
6436,1213187604,Nouvelle Chanson,7
6436,1213187729,Rock,7
6436,1213187697,Hard,7
6436,1213187514,Musique de Film,7
6436,1244144297,Reprises - Covers,7
6436,1226438312,Charts,7
6436,1267981333,Festival Garorock,7
4686,1267617749,Dancefloor,1
2540,1220089726,Französische Chansons,1
9751,1255266661,Electro,3
9751,1354031628,Vocal Jazz,3
9751,1255266645,Dancefloor,3
6779,1233998324,Rock,7
6779,1221303560,Soul,7
6779,1233998312,Rap,7
6779,1214035801,Funk,7
6779,1237015273,Disco,7
6779,1237015251,Blues,7
6779,1227289060,Reggae & Ska & Dub,7
12766,1239125931,Indie Pop,3
12766,1238929296,Pop Folk,3
12766,1276696640,Classique Instrumental,3
16936,1450197468,Konzentration,2
16936,1474319706,Vor dem Kamin,2
9600,1253366026,Vocal Jazz,2
9600,1253366008,Soul,2
6033,1215827468,Rock,1
12925,1300976110,Pop,2
12925,1226088485,Reprises - Covers,2
5358,1218291019,Nouvelle Chanson,1
10737,1214829166,Rock,2
10737,1213711026,Vocal Jazz,2
15372,1235740098,Pop,4
15372,1234342047,Soul,4
15372,1234342061,Funk,4
15372,1235658761,Hits,4
14428,1249861260,Reggae & Ska & Dub,1
9808,1210579709,Rock,1
17132,1298970012,Trip hop,2
17132,1453982572,Roadtrip,2
16984,1215092206,Classic Rock,2
16984,1419089800,Inrocks,2
10037,1213313851,Electro,3
10037,1213028958,Hard,3
10037,1213034985,Heavy Metal,3
9704,1229169275,Reggae & Ska & Dub,1
13861,1245077048,Französische Variété ,1
5705,1228152954,Pop,2
5705,1224338629,Musique de Film,2
18445,1488476408,Disco,5
18445,1488476397,Nachmittag im Sommer,5
18445,1488476384,Die 60er,5
18445,1488476385,Die 70er,5
18445,1488476386,Die 80er,5
16901,1232217130,Reprises - Covers,1
10398,1256757433,Electro,4
10398,1259436640,Hard,4
10398,1259438374,Punk,4
10398,1256398989,Trip hop,4
14019,1230032040,Electro,2
14019,1229620265,Dancefloor,2
8857,1234283480,Vocal Jazz,5
8857,1234778320,Pop,5
8857,1234028614,Soul,5
8857,1234027637,R&B,5
8857,1234284940,Blues,5
10981,1247132191,Reprises - Covers,1
16429,1211606763,Hard,3
16429,1211606636,Heavy Metal,3
16429,1211606723,Classic Rock,3
5152,1462126954,Vor dem Kamin,1
13050,1235231039,Dancefloor,1
7457,1487327940,EDM,9
