user_id,time_add,artist_id,nb_fans,nb_album,total
754,1320616179,1,3377840,33,23
754,1320616179,11,3955960,88,23
754,1320616179,399,2518366,35,23
754,1227916800,631,176687,14,23
754,1218672000,705,3617019,47,23
754,1320616179,808,953444,314,23
754,1320616179,847,2086522,37,23
754,1320616179,860,3473317,43,23
754,1218672000,892,11136473,51,23
754,1218672000,897,1257743,27,23
754,1320616179,1181,167598,27,23
754,1218758400,1183,48217,17,23
754,1227916800,1515,32612,24,23
754,1320616179,1642,872969,36,23
754,1227916800,1653,71484,20,23
754,1320616179,2707,465688,43,23
754,1241568000,4715,23201,45,23
754,1201824000,5544,6362,10,23
754,1320616179,10133,5695333,226,23
754,1201824000,16419,9238,22,23
754,1207785600,56202,34365,9,23
754,1253491200,259711,6759,6,23
754,1439568764,378715,199543,18,23
178,1484672894,1,3377840,33,255
178,1484672894,27,3468935,29,255
178,1484672894,181,197748,31,255
178,1484672894,188,101028,69,255
178,1484672894,580,198120,21,255
178,1484672894,744,1483036,361,255
178,1484672894,997,902694,111,255
178,1484672894,1007,366632,326,255
178,1484672894,1098,108887,10,255
178,1484672894,1157,56672,26,255
178,1484672894,1464,356900,37,255
178,1484672894,1559,193303,34,255
178,1484672894,1560,219034,337,255
178,1484672894,1766,10569,8,255
178,1484672894,2042,21172,33,255
178,1484672894,2197,35742,34,255
178,1484672894,2636,159501,35,255
178,1484672894,3129,16571,9,255
178,1484672894,3251,59287,64,255
178,1484672894,3813,208961,43,255
178,1484672894,3892,93844,20,255
178,1484672894,4675,75178,30,255
178,1484672894,4676,61594,229,255
178,1484672894,5913,146410,24,255
178,1484672894,6069,85870,21,255
482,1347184280,163,3732016,50,11
482,1347184280,313,2455265,32,11
482,1347184280,494,114328,45,11
482,1347184280,564,10602761,95,11
482,1347184280,715,30704,23,11
482,1347184280,821,236153,28,11
482,1347184280,860,3473317,43,11
482,1347184280,931,1657341,31,11
482,1347184280,9052,2479154,15,11
482,1347184280,11088,380547,29,11
482,1347184280,1687943,13187,1,11
1095,1211932800,11,3955960,88,47
1095,1211932800,14,1253795,35,47
1095,1211932800,246,27852,18,47
1095,1211932800,369,181945,21,47
1095,1211932800,399,2518366,35,47
1095,1211673600,608,138905,24,47
1095,1212710400,610,127828,16,47
1095,1211932800,656,540480,12,47
1095,1212710400,681,51615,15,47
1095,1211932800,743,984906,22,47
1095,1211932800,849,844365,32,47
1095,1211932800,860,3473317,43,47
1095,1220832000,892,11136475,51,47
1095,1211932800,895,33068,5,47
1095,1211932800,965,20975,5,47
1095,1211932800,997,902694,111,47
1095,1211932800,1007,366632,326,47
1095,1211932800,1017,113113,26,47
1095,1211673600,1224,7631,11,47
1095,1211932800,1302,200699,43,47
1095,1211932800,1315,49021,24,47
1095,1211932800,1559,193303,34,47
1095,1211932800,1604,19009,25,47
1095,1211932800,1653,71484,20,47
1095,1211932800,1700,60713,24,47
6661,1200182400,115,4387072,44,1
3231,1376769766,115,4387072,44,3
3231,1376769766,163,3732016,50,3
3231,1376769766,3298,17996,13,3
19,1457987289,48,345261,45,63
19,1457987275,49,111945,20,63
19,1457987300,63,70339,21,63
19,1457987308,234,41742,10,63
19,1457987274,252,290392,11,63
19,1457987284,292,200528,26,63
19,1457987294,362,39797,5,63
19,1457987277,390,2192798,34,63
19,1457987311,460,235472,13,63
19,1457987307,750,512879,37,63
19,1457987310,751,172191,24,63
19,1457987311,752,400007,25,63
19,1457987305,753,362411,13,63
19,1457987285,974,51350,11,63
19,1457987310,1798,33096,4,63
19,1457987293,2215,3508,29,63
19,1457987286,2518,61928,8,63
19,1457987276,2521,17558,7,63
19,1457987280,2539,1979,1,63
19,1457987301,3181,3813,15,63
19,1457987298,3574,57362,10,63
19,1457987304,4975,14908,12,63
19,1457987293,5025,130333,25,63
19,1457987287,5715,6840,50,63
19,1457987289,6245,7905,2,63
164,1360951233,564,10602762,95,13
164,1351507511,1188,7190428,48,13
164,1351507511,1495,264474,22,13
164,1351507511,4975,14908,12,13
164,1360951233,5196,455606,34,13
164,1351507511,144446,1078561,3,13
164,1351507511,365071,35992,4,13
164,1360951233,533111,4904,2,13
164,1351507511,803748,120914,26,13
164,1360951233,1381289,19572,1,13
164,1351507511,1625788,89213,0,13
164,1360951233,1695425,71881,3,13
164,1366572395,4422340,27652,3,13
4356,1248307200,1226,39336,11,1
3916,1469288398,5839,43755,12,4
3916,1469288398,6697339,54,2,4
3916,1469288398,7177264,622,3,4
3916,1469288398,9625812,1276,2,4
62,1372269513,6,1032646,6,50
62,1317555664,7,567188,45,50
62,1343235838,13,10733563,34,50
62,1372269513,92,7238513,47,50
62,1257638400,176,565652,17,50
62,1372269513,177,385253,30,50
62,1372269513,196,808678,20,50
62,1257206400,243,183831,18,50
62,1373214765,281,271965,21,50
62,1297430202,415,6145730,21,50
62,1287100800,421,71407,16,50
62,1372269513,457,618344,13,50
62,1272240000,458,3184664,8,50
62,1372269513,610,127828,16,50
62,1372269513,656,540480,12,50
62,1290902400,681,51615,15,50
62,1343200455,796,721435,37,50
62,1257638400,817,1341861,50,50
62,1372269513,846,156514,18,50
62,1372269513,847,2086522,37,50
62,1372269513,860,3473317,43,50
62,1245715200,882,839778,14,50
62,1372269513,927,3003104,23,50
62,1333153664,985,25504,11,50
62,1372269513,1018,228008,27,50
1764,1324325926,13,10733564,34,35
1764,1324325926,38,3619353,57,35
1764,1324325926,48,345261,45,35
1764,1324325926,49,111945,20,35
1764,1384108813,230,2600873,57,35
1764,1324325926,249,385765,35,35
1764,1324325925,252,290392,11,35
1764,1324325926,259,8095558,48,35
1764,1324325926,292,200528,26,35
1764,1324325926,323,1347221,46,35
1764,1324325926,390,2192798,34,35
1764,1324325926,457,618344,13,35
1764,1324325926,542,14157862,84,35
1764,1324325926,753,362411,13,35
1764,1324325925,1342,1976615,289,35
1764,1324325926,1902,194277,51,35
1764,1324325926,2527,1986843,84,35
1764,1324325926,2792,4499305,56,35
1764,1324325926,4011,1730891,32,35
